patch_20286776 install log: 
backing up /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_prep_passwd.c, /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_prep_passwd.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_prep_passwd.c 
backing up /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_valid_payinfo.c, /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_valid_payinfo.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_valid_payinfo.c 
backing up /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_prep_payinfo.c, /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_prep_payinfo.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_cust_pol/fm_cust_pol_prep_payinfo.c 
backing up /brmapp/portal/7.5/source/sys/fm_device_pol/fm_device_pol_config.c, /brmapp/portal/7.5/source/sys/fm_device_pol/fm_device_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_device_pol/fm_device_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_device_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_device_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_device_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_remit_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_remit_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_remit_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_remit_pol/fm_remit_pol_config.c, /brmapp/portal/7.5/source/sys/fm_remit_pol/fm_remit_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_remit_pol/fm_remit_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_zonemap_pol/fm_zonemap_pol_config.c, /brmapp/portal/7.5/source/sys/fm_zonemap_pol/fm_zonemap_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_zonemap_pol/fm_zonemap_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_zonemap_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_zonemap_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_zonemap_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_zonemap_pol/fm_zonemap_pol_get_lineage.c, /brmapp/portal/7.5/source/sys/fm_zonemap_pol/fm_zonemap_pol_get_lineage.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_zonemap_pol/fm_zonemap_pol_get_lineage.c 
backing up /brmapp/portal/7.5/source/sys/fm_ifw_sync_pol/fm_ifw_sync_pol_config.c, /brmapp/portal/7.5/source/sys/fm_ifw_sync_pol/fm_ifw_sync_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_ifw_sync_pol/fm_ifw_sync_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_ifw_sync_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_ifw_sync_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_ifw_sync_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_rate_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_rate_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_rate_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_rate_pol/fm_rate_pol_config.c, /brmapp/portal/7.5/source/sys/fm_rate_pol/fm_rate_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_rate_pol/fm_rate_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_adu_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_adu_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_adu_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_adu_pol/fm_adu_pol_config.c, /brmapp/portal/7.5/source/sys/fm_adu_pol/fm_adu_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_adu_pol/fm_adu_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_ar_pol/fm_ar_pol_reverse_writeoff.c, /brmapp/portal/7.5/source/sys/fm_ar_pol/fm_ar_pol_reverse_writeoff.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_ar_pol/fm_ar_pol_reverse_writeoff.c 
backing up /brmapp/portal/7.5/source/sys/fm_prov_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_prov_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_prov_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_prov_pol/fm_prov_pol_config.c, /brmapp/portal/7.5/source/sys/fm_prov_pol/fm_prov_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_prov_pol/fm_prov_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_trans_pol/fm_trans_pol_config.c, /brmapp/portal/7.5/source/sys/fm_trans_pol/fm_trans_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_trans_pol/fm_trans_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_trans_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_trans_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_trans_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_process_audit_pol/fm_process_audit_pol_config.c, /brmapp/portal/7.5/source/sys/fm_process_audit_pol/fm_process_audit_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_process_audit_pol/fm_process_audit_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_process_audit_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_process_audit_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_process_audit_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_subscription_pol/fm_subscription_pol_provisioning.c, /brmapp/portal/7.5/source/sys/fm_subscription_pol/fm_subscription_pol_provisioning.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_subscription_pol/fm_subscription_pol_provisioning.c 
backing up /brmapp/portal/7.5/source/sys/fm_reserve_pol/fm_reserve_pol_config.c, /brmapp/portal/7.5/source/sys/fm_reserve_pol/fm_reserve_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_reserve_pol/fm_reserve_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_reserve_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_reserve_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_reserve_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_inv_pol/fm_inv_pol_prep_invoice.c, /brmapp/portal/7.5/source/sys/fm_inv_pol/fm_inv_pol_prep_invoice.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_inv_pol/fm_inv_pol_prep_invoice.c 
backing up /brmapp/portal/7.5/source/sys/fm_inv_pol/fm_inv_pol_config.c, /brmapp/portal/7.5/source/sys/fm_inv_pol/fm_inv_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_inv_pol/fm_inv_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_inv_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_inv_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_inv_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_act_pol/fm_act_pol_config.c, /brmapp/portal/7.5/source/sys/fm_act_pol/fm_act_pol_config.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_act_pol/fm_act_pol_config.c 
backing up /brmapp/portal/7.5/source/sys/fm_act_pol/Makefile, /brmapp/portal/7.5/source/sys/fm_act_pol/Makefile.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_act_pol/Makefile 
backing up /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_validate.c, /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_validate.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_validate.c 
backing up /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_collect.c, /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_collect.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_collect.c 
backing up /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_validate_payment.c, /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_validate_payment.c.20286776.bak 
deploying affected file /brmapp/portal/7.5/source/sys/fm_pymt_pol/fm_pymt_pol_validate_payment.c 
backing up /brmapp/portal/7.5/apps/pin_rel/pin_rel_handle_interim_files.pl, /brmapp/portal/7.5/apps/pin_rel/pin_rel_handle_interim_files.pl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_rel/pin_rel_handle_interim_files.pl 
backing up /brmapp/portal/7.5/apps/pin_rel/pin_rel, /brmapp/portal/7.5/apps/pin_rel/pin_rel.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_rel/pin_rel 
backing up /brmapp/portal/7.5/apps/pin_rel/pin_rel_updater_sp_oracle.plb, /brmapp/portal/7.5/apps/pin_rel/pin_rel_updater_sp_oracle.plb.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_rel/pin_rel_updater_sp_oracle.plb 
backing up /brmapp/portal/7.5/apps/pin_rel/pin_rel_preprocess_cdr.pl, /brmapp/portal/7.5/apps/pin_rel/pin_rel_preprocess_cdr.pl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_rel/pin_rel_preprocess_cdr.pl 
backing up /brmapp/portal/7.5/apps/pin_aq/create_portal_sync_pkb.sql, /brmapp/portal/7.5/apps/pin_aq/create_portal_sync_pkb.sql.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_aq/create_portal_sync_pkb.sql 
backing up /brmapp/portal/7.5/apps/partition_utils/sql_utils/oracle/partition_utils.plb, /brmapp/portal/7.5/apps/partition_utils/sql_utils/oracle/partition_utils.plb.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/partition_utils/sql_utils/oracle/partition_utils.plb 
backing up /brmapp/portal/7.5/apps/pin_ifw_sync/create_acct_sync_pkb.sql, /brmapp/portal/7.5/apps/pin_ifw_sync/create_acct_sync_pkb.sql.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_ifw_sync/create_acct_sync_pkb.sql 
backing up /brmapp/portal/7.5/apps/pin_virtual_columns/oracle/create_pkg_pin_virtual_columns.plb, /brmapp/portal/7.5/apps/pin_virtual_columns/oracle/create_pkg_pin_virtual_columns.plb.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_virtual_columns/oracle/create_pkg_pin_virtual_columns.plb 
backing up /brmapp/portal/7.5/apps/load_notification_event/load_notification_event, /brmapp/portal/7.5/apps/load_notification_event/load_notification_event.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/load_notification_event/load_notification_event 
backing up /brmapp/portal/7.5/apps/uel/uel.jar, /brmapp/portal/7.5/apps/uel/uel.jar.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/uel/uel.jar 
backing up /brmapp/portal/7.5/apps/pin_inv_doc_gen/invoice_bursting.plb, /brmapp/portal/7.5/apps/pin_inv_doc_gen/invoice_bursting.plb.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_inv_doc_gen/invoice_bursting.plb 
backing up /brmapp/portal/7.5/apps/pin_inv_doc_gen/pin_inv_doc_gen.jar, /brmapp/portal/7.5/apps/pin_inv_doc_gen/pin_inv_doc_gen.jar.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_inv_doc_gen/pin_inv_doc_gen.jar 
backing up /brmapp/portal/7.5/apps/pin_inv_doc_gen/docgen.sh, /brmapp/portal/7.5/apps/pin_inv_doc_gen/docgen.sh.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/pin_inv_doc_gen/docgen.sh 
backing up /brmapp/portal/7.5/apps/cmt/cmt.jar, /brmapp/portal/7.5/apps/cmt/cmt.jar.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/cmt.jar 
backing up /brmapp/portal/7.5/apps/cmt/Enumeration.properties, /brmapp/portal/7.5/apps/cmt/Enumeration.properties.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/Enumeration.properties 
backing up /brmapp/portal/7.5/apps/cmt/cmt_mta_cycle_fees, /brmapp/portal/7.5/apps/cmt/cmt_mta_cycle_fees.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/cmt_mta_cycle_fees 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/physical/payinfoCreditCardExtension.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/physical/payinfoCreditCardExtension.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/physical/payinfoCreditCardExtension.xsd 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Balances.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Balances.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Balances.xsd 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Types.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Types.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Types.xsd 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Subscribers.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Subscribers.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/physical/CMT_Subscribers.xsd 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/payinfoCreditCardExtension.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/payinfoCreditCardExtension.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/payinfoCreditCardExtension.xsd 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Types.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Types.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Types.xsd 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Balances.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Balances.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Balances.xsd 
backing up /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Subscribers.xsd, /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Subscribers.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/schema_files/conceptual/CMT_Subscribers.xsd 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/service_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/service_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/service_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/purchased_discount_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/purchased_discount_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/purchased_discount_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/payinfo_cc_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/payinfo_cc_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/payinfo_cc_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/bal_grp_sub_bals_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/bal_grp_sub_bals_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/bal_grp_sub_bals_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/purchased_product_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/purchased_product_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/purchased_product_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/bal_grp_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/bal_grp_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/bal_grp_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/audit/service_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/audit/service_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/audit/service_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/audit/bal_grp_sub_bals_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/audit/bal_grp_sub_bals_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/audit/bal_grp_sub_bals_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/audit/group_sharing_discounts_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/audit/group_sharing_discounts_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/audit/group_sharing_discounts_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/audit/purchased_discount_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/audit/purchased_discount_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/audit/purchased_discount_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/audit/bal_grp_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/audit/bal_grp_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/audit/bal_grp_t.ctl 
backing up /brmapp/portal/7.5/apps/cmt/ctl_files/audit/purchased_product_t.ctl, /brmapp/portal/7.5/apps/cmt/ctl_files/audit/purchased_product_t.ctl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/cmt/ctl_files/audit/purchased_product_t.ctl 
backing up /brmapp/portal/7.5/apps/brm_integrations/stylesheets/pin_opspec_to_schema.xsl, /brmapp/portal/7.5/apps/brm_integrations/stylesheets/pin_opspec_to_schema.xsl.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/stylesheets/pin_opspec_to_schema.xsl 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BAL_SUMMARY.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BAL_SUMMARY.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_BAL_SUMMARY.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GROUP_GET_PARENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GROUP_GET_PARENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BILL_GROUP_GET_PARENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_DISCOUNTINFO.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_DISCOUNTINFO.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_DISCOUNTINFO.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_SET_PARENT.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_SET_PARENT.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SHARING_GROUP_SET_PARENT.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_BAL_SUMMARY.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_BAL_SUMMARY.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_AR_GET_ACCT_BAL_SUMMARY.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_OPEN.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_OPEN.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_TRANS_OPEN.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_DISCOUNT_STATUS.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_DISCOUNT_STATUS.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_SUBSCRIPTION_SET_DISCOUNT_STATUS.xsd 
backing up /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_BALANCES.xsd, /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_BALANCES.xsd.20286776.bak 
deploying affected file /brmapp/portal/7.5/apps/brm_integrations/schemas/PCM_OP_BAL_GET_BALANCES.xsd 
