2441616234*06-09-2021 09:01:01*$10 International Chat Pack*06-09-2021 08:41:30**332052514208622112*06-09-2021 09:01:01*1*1484974018817598506*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 08:41:29*10*100200600*258*2441618664*1090734*1*554*GST*0*2441615594*2441615594*0*2604248488                                             
2373514972*05-09-2021 03:08:48*Data Clock 1 Hour*05-09-2021 02:48:40**331964553277165552*05-09-2021 03:08:48*1*1484956426630921186*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:48:39*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*04-09-2021 03:00:47*Data Clock 1 Hour*04-09-2021 02:53:23**331964553277165552*04-09-2021 03:00:47*1*1484938834444326762*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:53:22*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*04-09-2021 02:56:47*Data Clock 1 Hour*04-09-2021 02:49:32**331964553277165552*04-09-2021 02:56:47*1*1484938834444318569*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:49:31*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*04-09-2021 02:56:47*Data Clock 1 Hour*04-09-2021 02:49:54**331964553277165552*04-09-2021 02:56:47*1*1484938834444318568*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:49:53*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2373514972*04-09-2021 02:52:47*Data Clock 1 Hour*04-09-2021 02:49:02**331964553277165552*04-09-2021 02:52:47*1*1484938834444310375*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:49:01*1*100100700*258*2373518863*1090734*1*554*GST*0*2373514716*2373514716*0*2597067444                                                        
2616362046*06-09-2021 14:34:01*International calls*06-09-2021 14:13:13**331894184521869722*06-09-2021 14:34:01*59*1484991611003708518*/event/delayed/session/telco/gsm/voice*/service/telco/gsm*06-09-2021 14:12:14*1.44*300201210*258*2616198518*1090734*60*554*GST*0*2616362558*2616362558*0*2616361278                                                     
2449875057*06-09-2021 12:49:01*Data Clock 1 Hour*06-09-2021 12:44:52**331577525173068138*06-09-2021 12:49:01*1*1484991611003692109*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:44:51*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*06-09-2021 12:46:01*Data Clock 1 Hour*06-09-2021 12:43:01**331577525173068138*06-09-2021 12:46:01*1*1484991611003683895*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:43:00*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*06-09-2021 12:46:01*Data Clock 1 Hour*06-09-2021 12:42:43**331577525173068138*06-09-2021 12:46:01*1*1484991611003683894*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:42:42*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*06-09-2021 12:46:01*Data Clock 1 Hour*06-09-2021 12:42:20**331577525173068138*06-09-2021 12:46:01*1*1484991611003683893*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*06-09-2021 12:42:19*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*05-09-2021 03:06:59*Data Clock 1 Hour*05-09-2021 02:51:34**331577525173068138*05-09-2021 03:06:59*1*1484956426630912953*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:51:33*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*05-09-2021 03:06:59*Data Clock 1 Hour*05-09-2021 02:47:44**331577525173068138*05-09-2021 03:06:59*1*1484956426630912952*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:47:43*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*05-09-2021 03:06:59*Data Clock 1 Hour*05-09-2021 02:48:23**331577525173068138*05-09-2021 03:06:59*1*1484956426630912951*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:48:22*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*05-09-2021 03:06:59*Data Clock 1 Hour*05-09-2021 02:48:54**331577525173068138*05-09-2021 03:06:59*1*1484956426630912950*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*05-09-2021 02:48:53*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*04-09-2021 03:06:59*Data Clock 1 Hour*04-09-2021 02:49:20**331577525173068138*04-09-2021 03:06:59*1*1484938834444334958*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:49:19*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*04-09-2021 03:06:59*Data Clock 1 Hour*04-09-2021 02:53:12**331577525173068138*04-09-2021 03:06:59*1*1484938834444334957*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:53:11*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*04-09-2021 03:06:59*Data Clock 1 Hour*04-09-2021 02:48:50**331577525173068138*04-09-2021 03:06:59*1*1484938834444334956*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:48:49*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
2449875057*04-09-2021 03:06:59*Data Clock 1 Hour*04-09-2021 02:49:43**331577525173068138*04-09-2021 03:06:59*1*1484938834444334955*/event/delayed/session/telco/gsm/valuepack*/service/telco/gsm*04-09-2021 02:49:42*1*100200700*258*2450052453*1090734*1*554*GST*0*2449875569*2449875569*0*2575323195                                                        
Amount_sum*111.88
